Parameter	Posterior Mean	Posterior Variance	a_post	b_post
R/theta	4.00775	0.200799	79.9908	19.959
1/delta	0.00350142	1.45797e-07	84.0892	24015.8
nu	0.0417097	1.81055e-06	960.867	23037
Blattella	0.000178897	1.69405e-08	1.8892	10560.3
Supella	0.000379592	3.35414e-08	4.29589	11317.1
Pseudomops	0.000392795	3.52771e-08	4.3736	11134.6
Gromphadorhina	9.2204e-05	8.34366e-09	1.01893	11050.8
AP013028	0.00028235	2.57808e-08	3.09229	10952
CP021120	0.000152763	1.3248e-08	1.76151	11531
CP087954	0.000153759	1.33338e-08	1.77307	11531.5
CP067976	0.000240248	2.15219e-08	2.68187	11162.9
CP048819	9.61122e-05	9.14717e-09	1.00988	10507.3
CP084693	0.000223693	1.96209e-08	2.55025	11400.7
CP011149	8.71102e-05	7.58158e-09	1.00087	11489.7
CP054557	0.000218174	1.89437e-08	2.51271	11517
CP050521	0.000346341	3.01509e-08	3.97839	11486.9
CP061738	0.000100122	9.99775e-09	1.00266	10014.4
CP076228	0.000153737	1.33319e-08	1.77282	11531.5
CP046577	0.000101157	1.00954e-08	1.0136	10020.1
CP037426	0.000220364	1.93873e-08	2.50476	11366.5
CP050531	0.000331273	2.95331e-08	3.7159	11217
CP050530	0.000389273	3.47664e-08	4.35861	11196.8
CP091195	0.000149128	1.32087e-08	1.68367	11290.1
CP041215	0.000153047	1.32733e-08	1.76471	11530.5
CP046579	0.000100038	1.00024e-08	1.00051	10001.3
NODE_39	0.00015569	1.36258e-08	1.77893	11426.1
NODE_40	0.000155462	1.35771e-08	1.78008	11450.3
NODE_41	0.000153599	1.332e-08	1.77121	11531.4
NODE_42	9.90481e-05	9.75446e-09	1.00575	10154.1
NODE_43	8.75721e-05	7.63623e-09	1.00427	11468
NODE_44	9.59724e-05	8.37182e-09	1.1002	11463.7
NODE_45	0.00038882	3.51061e-08	4.30641	11075.6
NODE_46	9.03329e-05	8.0857e-09	1.00919	11171.9
NODE_47	0.000114272	1.13217e-08	1.15336	10093.1
NODE_48	0.000167155	1.50427e-08	1.85743	11112
NODE_49	0.000105913	9.45081e-09	1.18693	11206.7
NODE_50	9.32999e-05	8.18417e-09	1.06362	11400
NODE_51	0.00013034	1.27676e-08	1.33059	10208.6
NODE_52	0.000193742	1.72223e-08	2.17951	11249.5
NODE_53	8.71809e-05	7.59e-09	1.00139	11486.3
NODE_54	0.000164575	1.44177e-08	1.87857	11414.7
NODE_55	8.75375e-05	7.632e-09	1.00404	11469.8
NODE_56	0.00015304	1.32719e-08	1.76472	11531.1
NODE_64	0.000227198	1.98196e-08	2.60443	11463.3
NODE_65	9.09644e-05	7.92457e-09	1.04416	11478.8
NODE_66	9.98551e-05	9.63071e-09	1.03534	10368.4
NODE_67	0.000168634	1.64132e-08	1.73261	10274.3
NODE_68	0.000269975	2.46915e-08	2.95188	10933.9
NODE_69	0.000226103	2.0003e-08	2.55575	11303.5
NODE_70	0.000103232	1.02304e-08	1.04169	10090.7
NODE_71	0.000106127	9.35538e-09	1.20391	11344
NODE_72	0.000108791	1.01196e-08	1.16955	10750.5
NODE_73	0.00025007	2.18548e-08	2.86139	11442.3
